lat,lon,status,host
-26.157512,28.0183908,Present,Platanus x acerifolia
-26.15741,28.05352,Present,Platanus x acerifolia
-26.15736405,28.01856124,Present,Platanus racemosa
-26.15732,28.04737,Present,Acer buergerianum
-26.15704296,27.99910901,Present,Vachellia galpinii
-26.15684131,28.01867612,Present,Platanus racemosa
-26.15680098,27.998734,Present,Vachellia sieberiana var. woodii
-26.15673761,28.01870604,Present,Platanus x acerifolia
-26.15673,28.05346,Present,Platanus x acerifolia
-26.1566803,28.0184878,Present,Platanus racemosa
-26.15665051,28.01874398,Present,Platanus x acerifolia
-26.15658,28.05349,Present,Platanus x acerifolia
-26.15655604,28.01874485,Present,Platanus x acerifolia
-26.15647,28.05348,Present,Platanus x acerifolia
-26.15644,28.04746,Present,Liquidambar styraciflua
-26.15643557,28.03293307,Present,Platanus x acerifolia
-26.15643,28.04742,Present,Liquidambar styraciflua
-26.15631,28.05341,Present,Platanus x acerifolia
-26.1563,28.0474,Present,Olea europaea subsp. cuspidata
-26.15629719,28.01880703,Present,Platanus racemosa
-26.1562512,28.0185258,Present,Platanus racemosa
-26.156,28.05359,Present,Platanus x acerifolia
-26.156,28.04747,Present,Fraxinus excelsior
-26.15599,28.04739,Present,Liquidambar styraciflua
