"","lon","lat"
"34384",141.5,-38.2
"34385",141.6,-38.2
"34386",141.7,-38.2
"34387",141.8,-38.2
"34388",141.9,-38.2
"34389",142,-38.2
"34390",142.1,-38.2
"34391",142.2,-38.2
"34392",142.3,-38.2
"34393",142.4,-38.2
"34394",142.5,-38.2
"34395",142.6,-38.2
"34396",142.7,-38.2
"34397",142.8,-38.2
"34398",142.9,-38.2
"34399",143,-38.2
"34400",143.1,-38.2
"34401",143.2,-38.2
"34402",143.3,-38.2
"34403",143.4,-38.2
"34404",143.5,-38.2
"34405",143.6,-38.2
"34406",143.7,-38.2
"34407",143.8,-38.2
"34408",143.9,-38.2
"34409",144,-38.2
"34410",144.1,-38.2
"34411",144.2,-38.2
"34412",144.3,-38.2
"34413",144.4,-38.2
"34414",144.5,-38.2
"34415",144.6,-38.2
"34416",144.7,-38.2
"34420",145.1,-38.2
"34421",145.2,-38.2
"34422",145.3,-38.2
"34423",145.4,-38.2
"34424",145.5,-38.2
"34425",145.6,-38.2
"34426",145.7,-38.2
"34427",145.8,-38.2
"34428",145.9,-38.2
"34429",146,-38.2
"34430",146.1,-38.2
"34431",146.2,-38.2
"34432",146.3,-38.2
"34433",146.4,-38.2
"34434",146.5,-38.2
"34435",146.6,-38.2
"34436",146.7,-38.2
"34437",146.8,-38.2
"34438",146.9,-38.2
"34439",147,-38.2
"34440",147.1,-38.2
"34441",147.2,-38.2
"34442",147.3,-38.2
"34443",147.4,-38.2
"34881",141.1,-38.1
"34882",141.2,-38.1
"34883",141.3,-38.1
"34884",141.4,-38.1
"34885",141.5,-38.1
"34886",141.6,-38.1
"34887",141.7,-38.1
"34888",141.8,-38.1
"34889",141.9,-38.1
"34890",142,-38.1
"34891",142.1,-38.1
"34892",142.2,-38.1
"34893",142.3,-38.1
"34894",142.4,-38.1
"34895",142.5,-38.1
"34896",142.6,-38.1
"34897",142.7,-38.1
"34898",142.8,-38.1
"34899",142.9,-38.1
"34900",143,-38.1
"34901",143.1,-38.1
"34902",143.2,-38.1
"34903",143.3,-38.1
"34904",143.4,-38.1
"34905",143.5,-38.1
"34906",143.6,-38.1
"34907",143.7,-38.1
"34908",143.8,-38.1
"34909",143.9,-38.1
"34910",144,-38.1
"34911",144.1,-38.1
"34912",144.2,-38.1
"34913",144.3,-38.1
"34922",145.2,-38.1
"34923",145.3,-38.1
"34924",145.4,-38.1
"34925",145.5,-38.1
"34926",145.6,-38.1
"34927",145.7,-38.1
"34928",145.8,-38.1
"34929",145.9,-38.1
"34930",146,-38.1
"34931",146.1,-38.1
"34932",146.2,-38.1
"34933",146.3,-38.1
"34934",146.4,-38.1
"34935",146.5,-38.1
"34936",146.6,-38.1
"34937",146.7,-38.1
"34938",146.8,-38.1
"34939",146.9,-38.1
"34940",147,-38.1
"34941",147.1,-38.1
"34942",147.2,-38.1
"34943",147.3,-38.1
"34944",147.4,-38.1
"34945",147.5,-38.1
"35377",140.6,-38
"35378",140.7,-38
"35379",140.8,-38
"35380",140.9,-38
"35381",141,-38
"35382",141.1,-38
"35383",141.2,-38
"35384",141.3,-38
"35385",141.4,-38
"35386",141.5,-38
"35387",141.6,-38
"35388",141.7,-38
"35389",141.8,-38
"35390",141.9,-38
"35391",142,-38
"35392",142.1,-38
"35393",142.2,-38
"35394",142.3,-38
"35395",142.4,-38
"35396",142.5,-38
"35397",142.6,-38
"35398",142.7,-38
"35399",142.8,-38
"35400",142.9,-38
"35401",143,-38
"35402",143.1,-38
"35403",143.2,-38
"35404",143.3,-38
"35405",143.4,-38
"35406",143.5,-38
"35407",143.6,-38
"35408",143.7,-38
"35409",143.8,-38
"35410",143.9,-38
"35411",144,-38
"35412",144.1,-38
"35413",144.2,-38
"35414",144.3,-38
"35415",144.4,-38
"35416",144.5,-38
"35417",144.6,-38
"35422",145.1,-38
"35423",145.2,-38
"35424",145.3,-38
"35425",145.4,-38
"35426",145.5,-38
"35427",145.6,-38
"35428",145.7,-38
"35429",145.8,-38
"35430",145.9,-38
"35431",146,-38
"35432",146.1,-38
"35433",146.2,-38
"35434",146.3,-38
"35435",146.4,-38
"35436",146.5,-38
"35437",146.6,-38
"35438",146.7,-38
"35439",146.8,-38
"35440",146.9,-38
"35441",147,-38
"35442",147.1,-38
"35443",147.2,-38
"35444",147.3,-38
"35445",147.4,-38
"35446",147.5,-38
"35447",147.6,-38
"35448",147.7,-38
"35876",140.4,-37.9
"35877",140.5,-37.9
"35878",140.6,-37.9
"35879",140.7,-37.9
"35880",140.8,-37.9
"35881",140.9,-37.9
"35882",141,-37.9
"35883",141.1,-37.9
"35884",141.2,-37.9
"35885",141.3,-37.9
"35886",141.4,-37.9
"35887",141.5,-37.9
"35888",141.6,-37.9
"35889",141.7,-37.9
"35890",141.8,-37.9
"35891",141.9,-37.9
"35892",142,-37.9
"35893",142.1,-37.9
"35894",142.2,-37.9
"35895",142.3,-37.9
"35896",142.4,-37.9
"35897",142.5,-37.9
"35898",142.6,-37.9
"35899",142.7,-37.9
"35900",142.8,-37.9
